,id,popularity,release_date,title,vote_average,vote_count
5732,14134,1.8027,2004-04-30,Main Hoon Na,6.6,417
5733,11977,14.3771,1980-07-25,Caddyshack,6.614,1268
5734,10668,4.6202,1997-09-06,Suicide Kings,6.614,320
5735,396810,1.1876,2017-03-03,The Last Word,6.613,371
5736,370665,1.9416,2015-12-18,Dilwale,6.613,336
5737,29963,1.4604,2009-09-18,Bright Star,6.613,476
5738,21407,2.7848,2009-07-09,The Collector,6.613,1618
5739,172803,1.3179,2013-12-04,Hours,6.611,783
5740,1100988,20.3878,2025-06-18,28 Years Later,6.609,2279
5741,578701,6.1443,2021-05-05,Those Who Wish Me Dead,6.611,1794
5742,507086,11.5766,2022-06-01,Jurassic World Dominion,6.611,6913
5743,445793,0.7761,2017-04-13,Husband & Wife,6.611,352
5744,192577,1.2577,2013-09-07,Space Pirate Captain Harlock,6.61,1076
5745,4169,1.515,2007-02-12,Breach,6.6,649
5746,1233069,6.4639,2025-04-29,Exterritorial,6.604,623
5747,577242,1.7742,2021-07-21,Kaamelott: The First Chapter,6.608,742
5748,382322,1.7943,2016-07-24,Batman: The Killing Joke,6.61,1911
5749,10176,1.0529,1985-09-08,The Quiet Earth,6.61,603
5750,9463,3.3081,1985-12-21,Vampire Hunter D,6.61,524
5751,3573,16.4125,1996-08-02,Emma,6.61,658
5752,2123,4.2883,2000-06-22,"Me, Myself & Irene",6.61,4161
5753,1172674,1.6803,2023-09-28,The Rat Catcher,6.6,505
5754,454527,6.0206,2021-07-09,Benedetta,6.608,1127
5755,433422,2.011,2017-05-06,Fairy Tail: Dragon Cry,6.608,415
5756,29963,1.4604,2009-09-18,Bright Star,6.6,475
5757,12150,2.0585,1989-09-15,Sea of Love,6.608,671
5758,8649,1.8408,1999-10-22,Bringing Out the Dead,6.608,1194
5759,559907,5.7619,2021-07-29,The Green Knight,6.607,2137
5760,14029,3.9639,1985-10-04,Demons,6.607,627
5761,287,1.9031,1988-06-15,Bull Durham,6.607,656
5762,823766,1.8584,2022-11-02,The Wonder,6.606,926
